,Name,University,Sport,Sponsors
0,Jashon Hubbard,The Ohio State University,Wrestling,614 Chiropractic                                                                       Barstool Sports                                                                      CRMD Ice Cream                                                                      Celsius                                                                      Chill Cryotherapy                                                                       Essentia Water                                                                      Ez Fresh Meals                                                                      Go Puff                                                                      Liquid I.V.                                                                      Max Effort Muscle                                                                       Playa Bowls                                                                      Rewild Yoga
1,Jonathan Shuskey,Christian Brothers University,Golf,Barstool Sports                                                                      Liquid I.V.                                                                      Swing Juice                                                                      Talco Industrial Chemicals                                                                      The Winston Collection
2,Collin Gillespie,Villanova University,Basketball,Barstool Sports                                                                      Outback Steakhouse
3,Buddy Boeheim,Syracuse University,Basketball,Enduraphin                                                                      Three Wishes Cereal
4,Armando Bacot,University of North Carolina at Chapel Hill,Basketball,Jimmy's Seafood
5,Aaron McLaughlin,North Carolina State University,Football,Barstool Sports
6,Brevin Galloway,Boston College,Basketball,Barstool Sports
7,Bryce Young,University of Alabama,Football,Cash App
8,Graham Mertz,University of WisconsinâMadison,Football,Raising Canes
9,B.J. Foster,University of Texas at Austin,Football,PSD Underwear                                                                      SoHoodie
10,Deshun Murrell,"University of California, Los Angeles",Football,PSD Underwear                                                                      SoHoodie                                                                      Wrangler
11,Bryan Robinson,Florida State University,Football,PSD Underwear                                                                      SoHoodie                                                                      Yoke Gaming
12,Angel Reese,"University of Maryland, College Park",Basketball,Outback Steakhouse
13,D'Eriq King,University of Miami,Football,College Hunks Hauling Junk                                                                      The Wharf
14,Spencer Rattler,University of Oklahoma,Football,Raising Canes
15,Hanna Cavinder,"California State University, Fresno",Basketball,Boost Mobile                                                                      Six Star Pro Nutrition
16,Haley Cavinder,"California State University, Fresno",Basketball,Boost Mobile                                                                      Six Star Pro Nutrition
17,Nik Scalzo,University of Kentucky,Football,Barstool Sports
18,Austin Deculus,Louisiana State University,Football,Barstool Sports                                                                      PSD Underwear                                                                      Yoke Gaming
19,Spencer Lee,University of Iowa,Wrestling,Barstool Sports
0,Mitchell Pehlke,The Ohio State University,Lacrosse,Barstool Sports                                                                      Degree Deodorant
1,Adrian Martinez,University of NebraskaâLincoln,Football,Degree Deodorant                                                                      Six Star Pro Nutrition
2,Patrick McCaffery,University of Iowa,Basketball,Barstool Sports
3,Malachi Moore,University of Alabama,Football,Milo's Tea Company                                                                      PSD Underwear
4,Cory Durden,North Carolina State University,Football,PSD Underwear                                                                      Six Star Pro Nutrition                                                                      Vale Food Co
5,Joseph Girard III,Syracuse University,Basketball,Yoke Gaming
6,Joe Hampton,"California State University, Long Beach",Basketball,PSD Underwear
7,DeMarvion Overshown,University of Texas at Austin,Football,
8,Tyrese Chambers,Florida International University,Football,SoHoodie                                                                      Taco Time +
9,Velus Jones Jr.,University of Tennessee,Football,Metro Straw                                                                      Yoke Gaming
10,John Rhys Plumlee,University of Mississippi,Football,Craddock Oil Company / Blue Sky Corporation
11,Eric Ayala,"University of Maryland, College Park",Basketball,
12,Hunter Dickinson,University of Michigan,Basketball,Outback Steakhouse
13,Shanya Luna,Louisiana State University,Cross Country,Barstool Sports                                                                      Celsius                                                                      Liquid I.V.
14,Marcus Bagley,Arizona State University,Basketball,Outback Steakhouse
15,Colin Castleton,University of Florida,Basketball,
16,Rachel Heck,Stanford University,Golf,PING Golf                                                                      Stifel
17,RayQuawndis Mitchell,University of Illinois at Chicago,Basketball,Barstool Sports
18,Shedeur Sanders,Jackson State University,Football,Beats by Dre                                                                      Gatorade
19,Quan Lee,University of Central Florida,Football,JS2 Cattle Company                                                                      Travous Dever                                                                      Your Brand Voice
0,Hercy Miller,Tennessee State University,Basketball,Web Apps America
1,Jordan Bohannon,University of Iowa,Basketball,Iowa Boomin Fireworks
2,Lexi Sun,University of NebraskaâLincoln,Volleyball,REN athletics
3,Connor McCaffery,University of Iowa,Basketball,Barstool Sports
4,Brian Maurer,University of Tennessee,Football,Barstool Sports                                                                      Metro Straw
5,Isaiah Cottrell,West Virginia University,Basketball,Barstool Sports
6,Jaydin Eierman,University of Iowa,Wrestling,Barstool Sports
7,Devin Folser,Mercer University,Football,Barstool Sports                                                                      Barstool Sports
8,Tali Popinko,Temple University,Field Hockey,Barstool Sports
9,Jalen Bridges,West Virginia University,Basketball,Barstool Sports
10,Justin Allone,Seton Hall University,Cross Country,Barstool Sports
11,Ross Reiter,Colorado State University,Football,Barstool Sports
12,Owen Lindmark,University of WisconsinâMadison,Ice Hockey,Barstool Sports
13,Andra Espinoza-Hunter,Seton Hall University,Basketball,Barstool Sports
14,Avery Drake,Houston Baptist University,Softball,Barstool Sports
15,Jacoby Boykins,University of Alabama,Football,Barstool Sports
16,D'vonte Price,Florida International University,Football,Barstool Sports
17,Amari Gainer,Florida State University,Football,Barstool Sports
18,Will Levis,University of Kentucky,Football,Barstool Sports
19,Cam Thompson,Purdue University,Baseball,Barstool Sports
0,Gable Steveson,University of Minnesota,Wrestling,Barstool Sports
1,Colby Jones,Xavier University,Basketball,Barstool Sports
2,Brennan Canada,University of Kentucky,Basketball,Barstool Sports
3,Spencer Webb,University of Oregon,Football,Barstool Sports
4,Jasmine Sievers,University of Oregon,Softball,Barstool Sports
5,Alex O'Connell,Creighton University,Basketball,Barstool Sports
6,Tae-Vheon Alcorn,University of Kansas,Track and Field,Barstool Sports
7,Canon Claycomb,University of Alabama,Golf,Barstool Sports
8,Bryce Frederick,Towson University,Baseball,Barstool Sports
9,Alana Walker,Northwestern University,Volleyball,Barstool Sports
10,Sydney Parrish,University of Oregon,Basketball,Barstool Sports
11,Christian Geddes,Iona College,Soccer,Barstool Sports
12,Madison Jurgens,University of South Dakota,Volleyball,Barstool Sports
13,Drew Durst,Stephen F. Austin State University,Baseball,Barstool Sports                                                                      Rhoback
14,Will Reichard,University of Alabama,Football,Barstool Sports
15,Skylar Smith,Santa Clara University,Soccer,Barstool Sports
16,Segun Afolabi,University of South Florida,Soccer,Barstool Sports
17,Benjamin Schwartz,Cornell University,Golf,Barstool Sports
18,Jacolbe Cowan,The Ohio State University,Football,Barstool Sports
19,Matt Torres,Fairfield University,Swimming and Diving,Barstool Sports
0,McKenzie Bump,The Ohio State University,Softball,Barstool Sports
1,Omar Manning,University of NebraskaâLincoln,Football,PSD Underwear
2,Dakereon Joyner,University of South Carolina,Football,PSD Underwear
3,Christopher Allen,University of Alabama,Football,PSD Underwear                                                                      Yoke Gaming
4,CJ Dippre,"University of Maryland, College Park",Football,Barstool Sports
5,Fabiola Declet,Florida International University,Cross Country,Barstool Sports
6,Madison Harms,University of South Dakota,Volleyball,Barstool Sports
7,Matthew Cleveland,Florida State University,Basketball,Yoke Gaming
8,Javion Cohen,University of Alabama,Football,Barstool Sports                                                                      Yoke Gaming
9,LaTrell Bumphus,University of Tennessee,Football,Yoke Gaming
10,Theo Jackson,University of Tennessee,Football,Yoke Gaming
11,Dariauna Lewis,Alabama Agricultural and Mechanical University,Basketball,Barstool Sports
12,Tia Dorshorst,University of WisconsinâMadison,Track and Field,Barstool Sports
13,Morgan Pankow,University of Miami,Golf,Barstool Sports
14,Luke Olson,University of South Dakota,Track and Field,Barstool Sports
15,Maddy Siegrist,Villanova University,Basketball,Barstool Sports                                                                      Outback Steakhouse
16,Natalie Smith,San Diego State University,Volleyball,Barstool Sports
17,Jaden Pask,Davidson College,Football,Barstool Sports
18,Evan Russell,University of Tennessee,Baseball,Barstool Sports
19,Jake Lynch,Stanford University,Football,Barstool Sports
0,Christian Dicochea,University of Washington,Baseball,Barstool Sports
1,Ali Gaye,Louisiana State University,Football,Barstool Sports
2,Justin Ademilola,University of Notre Dame,Football,Six Star Pro Nutrition
3,Jayson Ademilola,University of Notre Dame,Football,Six Star Pro Nutrition
4,D.J. Uiagalelei,Clemson University,Football,Bojangles
5,Olivia Dunne,Louisiana State University,Gymnastics,
6,Dontaie Allen,University of Kentucky,Basketball,
7,Drew Swinney,Clemson University,Football,Rhoback
