,Name,Followers,Valuation
0,Bronny James,12.9M,$5.9M
1,Livvy Dunne,11.3M,$3.4M
2,Caleb Williams,277K,$2.6M
3,Arch Manning,254K,$2.1M
4,Travis Hunter,1.3M,$1.7M
5,Shedeur Sanders,1.4M,$1.5M
6,Drake Maye,63K,$1.5M
7,Bo Nix,188K,$1.5M
8,Hansel Enmanuel,4.3M,$1.4M
9,Angel Reese,4M,$1.4M
10,Marvin Harrison Jr.,363K,$1.4M
11,Sunisa Lee,3.5M,$1.3M
12,Michael Penix Jr.,41K,$1.3M
13,Jordan Travis,118K,$1.2M
14,Xavier Worthy,151K,$1.2M
15,Bryce James,2.8M,$1.2M
16,Sam Hartman,119K,$1.1M
17,Blake Corum,176K,$1.1M
18,Sam Hurley,5M,$1.1M
19,Shaqir O'Neal,4.5M,$1M
20,Emeka Egbuka,86K,$985K
21,Spencer Rattler,592K,$968K
22,Quinshon Judkins,108K,$953K
23,Jalen Wilson,222K,$921K
24,Evan Stewart,2.4M,$913K
25,Jayden Daniels,95K,$906K
26,Jared Verse,42K,$899K
27,Trayce Jackson-Davis,162K,$893K
28,Nick Singleton,46K,$880K
29,Brandon Miller,73K,$867K
30,J.J. McCarthy,263K,$866K
31,Zach Edey,53K,$827K
32,Laiatu Latu,4.9K,$825K
33,Cameron Rising,36K,$815K
34,J.T. Tuimoloau,54K,$808K
35,Dylan Raiola,38K,$804K
36,Flau'jae Johnson,2.3M,$801K
37,TreVeyon Henderson,128K,$798K
38,Caitlin Clark,958K,$795K
39,Bralen Trice,3.4K,$788K
40,Adama Sanogo,10.8K,$775K
41,Kool-Aid McKinstry,162K,$774K
42,Miyan Williams,63K,$758K
43,Raheim Sanders,32K,$750K
44,Malik Nabers,23K,$750K
45,Rome Odunze,11.6K,$748K
46,Jarquez Hunter,39K,$747K
47,Caleb Love,425K,$736K
48,Paige Bueckers,1.6M,$736K
49,Brock Bowers,100K,$728K
50,Ainias Smith,27K,$703K
51,Quinn Ewers,209K,$701K
52,Chop Robinson,14K,$688K
53,Bucky Irving,156K,$673K
54,Julian Sayin,21K,$671K
55,KJ Jefferson,47K,$655K
56,Braelon Allen,134K,$649K
57,Oscar Tshiebwe,134K,$639K
58,Drew Timme,120K,$633K
59,Donovan Ezeiruaku,5.3K,$632K
60,Trey Benson,30K,$625K
61,DJ Lagway,46K,$619K
62,Harold Perkins,58K,$610K
63,Shilo Sanders,821K,$607K
64,Donovan Edwards,56K,$594K
65,Jared McCain,2.5M,$590K
66,Jaime Jaquez,69K,$587K
67,Jadyn Davis,48K,$587K
68,Ian Jackson,58K,$574K
69,Johnny Wilson,43K,$567K
70,Jacob Cowing,7.7K,$565K
71,Armando Bacot,252K,$549K
72,Marcus Sasser,32K,$545K
73,Joe Milton,87K,$544K
74,Joe Alt,3.2K,$542K
75,Olu Fashanu,7.5K,$540K
76,Amari Bailey,566K,$538K
77,Will Johnson,52K,$537K
78,Jada Williams,1.2M,$534K
79,Tre Johnson,23K,$533K
80,Azuolas Tubelis,45K,$532K
81,Ace Bailey,20K,$530K
82,Benjamin Morrison,8.7K,$527K
83,Dillon Gabriel,102K,$523K
84,Flory Bidunga,11.6K,$519K
85,Devin Leary,37K,$517K
86,Dwight McGlothern,31K,$511K
87,Dylan Harper,4.4K,$509K
88,Hailey Van Lith,837K,$506K
89,Malaki Starks,24K,$504K
90,Ja'Tavion Sanders,27K,$499K
91,Markquis Nowell,143K,$497K
92,Brant Kuithe,13K,$496K
93,JC Latham,17.6K,$496K
94,Tommy Eichenberg,16.2K,$495K
95,Abdul Carter,13.9K,$486K
96,Chico Bennett Jr.,3K,$483K
97,Elliot Cadeau,65K,$476K
98,Kamren Kinchens,25K,$475K
99,DeWayne Carter,8.1K,$474K
