,Name,Followers,Valuation,Position
0,Arch Manning,254K,$3.2M,QB
1,Caleb Williams,277K,$2.7M,QB
2,Travis Hunter,1.3M,$1.7M,CB
3,Shedeur Sanders,1.4M,$1.6M,QB
4,Drake Maye,63K,$1.5M,QB
5,Bo Nix,188K,$1.5M,QB
6,Marvin Harrison Jr.,363K,$1.4M,WR
7,Michael Penix Jr.,41K,$1.3M,QB
8,Jordan Travis,118K,$1.3M,QB
9,Nico Iamaleava,331K,$1.2M,QB
10,Xavier Worthy,151K,$1.2M,WR
11,Sam Hartman,119K,$1.1M,QB
12,Blake Corum,176K,$1.1M,RB
13,Emeka Egbuka,86K,$990K,WR
14,Spencer Rattler,592K,$989K,QB
15,Quinshon Judkins,108K,$957K,RB
16,Evan Stewart,2.4M,$934K,WR
17,Jayden Daniels,95K,$913K,QB
18,Jared Verse,42K,$900K,EDGE
19,Nick Singleton,46K,$883K,RB
20,J.J. McCarthy,263K,$879K,QB
21,Dante Moore,62K,$869K,QB
22,Laiatu Latu,4.9K,$826K,EDGE
23,Malachi Nelson,161K,$819K,QB
24,Cameron Rising,36K,$817K,QB
25,J.T. Tuimoloau,54K,$811K,EDGE
26,TreVeyon Henderson,128K,$804K,RB
27,Bralen Trice,3.4K,$789K,EDGE
28,Kool-Aid McKinstry,162K,$781K,CB
29,Jackson Arnold,52K,$771K,QB
30,Miyan Williams,63K,$762K,RB
31,Raheim Sanders,32K,$752K,RB
32,Malik Nabers,23K,$751K,WR
33,Jarquez Hunter,39K,$749K,RB
34,Rome Odunze,11.6K,$749K,WR
35,Brock Bowers,100K,$733K,TE
36,Quinn Ewers,209K,$711K,QB
37,Ainias Smith,27K,$705K,WR
38,Chop Robinson,14K,$690K,EDGE
39,Bucky Irving,156K,$681K,RB
40,KJ Jefferson,47K,$658K,QB
41,Braelon Allen,134K,$654K,RB
42,Donovan Ezeiruaku,5.3K,$632K,EDGE
43,Trey Benson,30K,$627K,RB
44,Shilo Sanders,821K,$623K,S
45,Zachariah Branch,180K,$618K,WR
46,Harold Perkins,58K,$613K,LB
47,Donovan Edwards,56K,$597K,RB
48,Johnny Wilson,43K,$569K,WR
49,Jacob Cowing,7.7K,$566K,WR
50,Caleb Downs,99K,$552K,S
51,Joe Milton,87K,$549K,QB
52,Joe Alt,3.2K,$543K,OT
53,Olu Fashanu,7.5K,$541K,OT
54,Will Johnson,52K,$540K,CB
55,Dillon Gabriel,102K,$528K,QB
56,Benjamin Morrison,8.7K,$528K,CB
57,Devin Leary,37K,$519K,QB
58,Dwight McGlothern,31K,$513K,CB
59,Malaki Starks,24K,$506K,S
60,Ja'Tavion Sanders,27K,$500K,TE
61,Brant Kuithe,13K,$497K,TE
62,JC Latham,17.6K,$497K,OT
63,Tommy Eichenberg,16.2K,$496K,LB
64,Abdul Carter,13.9K,$487K,LB
65,Chico Bennett Jr.,3K,$484K,EDGE
66,Kamren Kinchens,25K,$476K,S
67,DeWayne Carter,8.1K,$475K,DL
68,Graham Barton,2.8K,$470K,OT
69,Kris Jenkins,10K,$467K,DL
70,Justin Dedich,4.7K,$465K,IOL
71,Leonard Taylor,27K,$462K,DL
72,Jer'Zhan Newton,6.4K,$456K,DL
73,DJ Uiagalelei,199K,$442K,QB
74,Kingsley Suamataia,29K,$436K,OT
75,Chris Braswell,14.9K,$435K,EDGE
76,Jaheim Bell,46K,$435K,TE
77,Cooper Beebe,3.8K,$435K,IOL
78,Jeremiah Trotter Jr.,11.6K,$432K,LB
79,Trevor Etienne,66K,$431K,RB
80,Zak Zinter,25K,$429K,IOL
81,Calen Bullock,9.6K,$427K,S
82,Oronde Gadsden II,2.6K,$427K,TE
83,Will Campbell,29K,$424K,OT
84,Thunder Keck,1.1M,$424K,EDGE
85,Jaden Rashada,42K,$422K,QB
86,Taulia Tagovailoa,155K,$418K,QB
87,AD Mitchell,42K,$418K,WR
88,Kelvin Banks,19K,$418K,OT
89,Mykel Williams,36K,$415K,EDGE
90,Frank Gore Jr.,38K,$410K,RB
91,Tate Ratledge,29K,$408K,IOL
92,Ty'Ron Hopper,13.3K,$405K,LB
93,Ashton Gillotte,4.1K,$404K,DL
94,Rod Moore,26K,$401K,S
95,Kalen King,22K,$396K,CB
96,Montrell Johnson,19.6K,$393K,RB
97,Kadyn Proctor,48K,$393K,OT
98,Antwane Wells,13.6K,$392K,WR
99,Jase McClellan,7.3K,$392K,RB
