,Name,Followers,Valuation,Position
0,Hansel Enmanuel,4.3M,$1.4M,CG
1,Shaqir O'Neal,4.5M,$1M,SG
2,Jalen Wilson,222K,$926K,SF
3,Trayce Jackson-Davis,162K,$897K,C
4,Brandon Miller,73K,$870K,SF
5,Zach Edey,53K,$829K,C
6,Adama Sanogo,10.8K,$776K,PF
7,Caleb Love,425K,$747K,CG
8,Oscar Tshiebwe,134K,$643K,C
9,Drew Timme,120K,$637K,C
10,Jaime Jaquez,69K,$590K,SF
11,Armando Bacot,252K,$555K,C
12,Amari Bailey,566K,$551K,CG
13,Marcus Sasser,32K,$546K,PG
14,Azuolas Tubelis,45K,$533K,PF
15,Markquis Nowell,143K,$501K,PG
16,Emoni Bates,502K,$468K,SF
17,Gradey Dick,351K,$404K,SF
18,Kyle Filipowski,48K,$401K,PF
19,Cam Whitmore,42K,$399K,SF
20,Kris Murray,19.3K,$379K,SF
21,Jalen Pickett,8.1K,$373K,PG
22,Tyler Kolek,12.8K,$370K,CG
23,Keyontae Johnson,23K,$369K,SF
24,Tosan Evbuomwan,4.4K,$362K,PF
25,Anthony Black,126K,$309K,CG
26,B. Artis-White,1.8M,$308K,PG
27,Jahvon Quinerly,444K,$302K,PG
28,Hunter Dickinson,98K,$282K,C
29,Keyonte George,162K,$274K,SG
30,Cason Wallace,41K,$247K,CG
31,Terrence Shannon,47K,$244K,SF
32,Noah Farrakhan,334K,$238K,PG
33,Nick Smith,112K,$236K,SG
34,Mike Miles,28K,$231K,PG
35,Jordan Hawkins,21K,$228K,SG
36,Matthew Cleveland,15.6K,$228K,SF
37,Isaiah Wong,22K,$227K,SG
38,Kendric Davis,8.9K,$213K,PG
39,Jalen Hood-Schifino,70K,$212K,CG
40,Jarace Walker,47K,$202K,PF
41,Posh Alexander,31K,$183K,PG
42,Skyy Clark,260K,$182K,PG
43,Zion Harmon,245K,$174K,PG
44,Yohan Traore,12.2K,$173K,PF
45,Marcus Carr,15.8K,$173K,PG
46,Matt Bradley,15.6K,$170K,SF
47,Harrison Ingram,23K,$169K,SF
48,Tyger Campbell,78K,$168K,PG
49,Allen Flanigan,7.1K,$167K,SF
50,R.J. Davis,179K,$165K,SG
51,Johnell Davis,7.5K,$165K,SG
52,Grant Nelson,10.9K,$164K,PF
53,Taylor Hendricks,12K,$164K,PF
54,GG Jackson,54K,$154K,PF
55,Boogie Ellis,144K,$153K,PG
56,MJ Rice,64K,$138K,SF
57,Brice Sensabaugh,25K,$138K,SG
58,Jeremy Roach,73K,$136K,PG
59,Tyson Walker,28K,$135K,SG
60,Kerr Kriisa,33K,$133K,PG
61,Bryce Hopkins,36K,$131K,PF
62,Terquavion Smith,31K,$130K,SG
63,Leaky Black,106K,$129K,SF
64,Kobe Brown,24K,$128K,SF
65,Max Abmas,25K,$126K,PG
66,Jett Howard,42K,$123K,SG
67,K.D. Johnson,49K,$123K,PG
68,Dereck Lively II,58K,$121K,C
69,JJ Starling,17.6K,$121K,SG
70,Dajuan Harris,46K,$118K,CG
71,Jaylen Clark,72K,$118K,SG
72,Wade Taylor,32K,$117K,PG
73,Doug Edert,244K,$116K,PG
74,Julian Strawther,46K,$115K,SF
75,Ryan Kalkbrenner,8.3K,$113K,C
76,Hercy Miller,172K,$110K,PG
77,Nolan Hickman,35K,$109K,PG
78,Cam'Ron Fletcher,138K,$106K,SF
79,Davonte Davis,322K,$105K,CG
80,Adam Miller,155K,$104K,SG
81,Kobe Bufkin,16.6K,$104K,SG
82,Santiago Vescovi,26K,$103K,PG
83,Meechie Johnson,202K,$100K,PG
84,Kevin Miller,136K,$99K,PG
85,Jayden Gardner,16.3K,$99K,PF
86,Judah Mintz,27K,$99K,CG
87,Noah Clowney,10.9K,$98K,PF
88,Alijah Martin,32K,$97K,CG
89,Devan Cambridge,125K,$97K,SF
90,Jordan Miller,17.1K,$95K,SG
91,Nijel Pack,17.6K,$94K,PG
92,Jamarion Sharp,13.4K,$94K,C
93,DaRon Holmes,18.9K,$93K,PF
94,Kowacie Reeves,117K,$93K,SG
95,Brandon Murray,13.1K,$92K,SF
96,Jarkel Joiner,13.9K,$91K,SG
97,DeAndre Williams,9.7K,$91K,PF
98,Kam Jones,11.3K,$90K,SG
99,Donovan Clingan,46K,$90K,C
