Name,Sponsor,University,Sport,Instagram,Twitter,Gender
Jashon Hubbard,614 Chiropractic,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Barstool Sports,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,CRMD Ice Cream,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Celsius,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Chill Cryotherapy,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Essentia Water,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Ez Fresh Meals,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Go Puff,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Liquid I.V.,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Max Effort Muscle,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Playa Bowls,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jashon Hubbard,Rewild Yoga,The Ohio State University,Wrestling,https://instagram.com/jashonhubbard,https://twitter.com/@jashon_hubbard,1
Jonathan Shuskey,Barstool Sports,Christian Brothers University,Golf,https://instagram.com/j_shuskey1,https://twitter.com/@j_shuskey1,1
Jonathan Shuskey,Liquid I.V.,Christian Brothers University,Golf,https://instagram.com/j_shuskey1,https://twitter.com/@j_shuskey1,1
Jonathan Shuskey,Swing Juice,Christian Brothers University,Golf,https://instagram.com/j_shuskey1,https://twitter.com/@j_shuskey1,1
Jonathan Shuskey,Talco Industrial Chemicals,Christian Brothers University,Golf,https://instagram.com/j_shuskey1,https://twitter.com/@j_shuskey1,1
