Name,Sponsors,University,Sport,PageNumber
Jashon Hubbard,614 Chiropractic Barstool Sports,The Ohio State University,Wrestling,1
Jashon Hubbard,CRMD Ice Cream,The Ohio State University,Wrestling,1
Jashon Hubbard,Celsius,The Ohio State University,Wrestling,1
Jashon Hubbard,Chill Cryotherapy Essentia Water,The Ohio State University,Wrestling,1
Jashon Hubbard,Ez Fresh Meals,The Ohio State University,Wrestling,1
Jashon Hubbard,Go Puff,The Ohio State University,Wrestling,1
Jashon Hubbard,Liquid I.V.,The Ohio State University,Wrestling,1
Jashon Hubbard,Max Effort Muscle Playa Bowls,The Ohio State University,Wrestling,1
Jashon Hubbard,Rewild Yoga,The Ohio State University,Wrestling,1
Jonathan Shuskey,Barstool Sports,Christian Brothers University,Golf,1
Jonathan Shuskey,Liquid I.V.,Christian Brothers University,Golf,1
Jonathan Shuskey,Swing Juice,Christian Brothers University,Golf,1
Jonathan Shuskey,Talco Industrial Chemicals,Christian Brothers University,Golf,1
Jonathan Shuskey,The Winston Collection,Christian Brothers University,Golf,1
Collin Gillespie,Barstool Sports,Villanova University,Basketball,1
Collin Gillespie,Outback Steakhouse,Villanova University,Basketball,1
Buddy Boeheim,Enduraphin,Syracuse University,Basketball,1
Buddy Boeheim,Three Wishes Cereal,Syracuse University,Basketball,1
Armando Bacot,Jimmy's Seafood,University of North Carolina at Chapel Hill,Basketball,1
Aaron McLaughlin,Barstool Sports,North Carolina State University,Football,1
Brevin Galloway,Barstool Sports,Boston College,Basketball,1
Bryce Young,Cash App,University of Alabama,Football,1
Graham Mertz,Raising Canes,University of Wisconsin-Madison,Football,1
B.J. Foster,PSD Underwear,University of Texas at Austin,Football,1
B.J. Foster,SoHoodie,University of Texas at Austin,Football,1
Deshun Murrell,PSD Underwear,"University of California, Los Angeles",Football,1
Deshun Murrell,SoHoodie,"University of California, Los Angeles",Football,1
Deshun Murrell,Wrangler,"University of California, Los Angeles",Football,1
Bryan Robinson,PSD Underwear,Florida State University,Football,1
Bryan Robinson,SoHoodie,Florida State University,Football,1
Bryan Robinson,Yoke Gaming,Florida State University,Football,1
Angel Reese,Outback Steakhouse,"University of Maryland, College Park",Basketball,1
D'Eriq King,College Hunks Hauling Junk,University of Miami,Football,1
D'Eriq King,The Wharf,University of Miami,Football,1
Spencer Rattler,Raising Canes,University of Oklahoma,Football,1
Hanna Cavinder,Boost Mobile,"California State University, Fresno",Basketball,1
Hanna Cavinder,Six Star Pro Nutrition,"California State University, Fresno",Basketball,1
Haley Cavinder,Boost Mobile,"California State University, Fresno",Basketball,1
Haley Cavinder,Six Star Pro Nutrition,"California State University, Fresno",Basketball,1
Nik Scalzo,Barstool Sports,University of Kentucky,Football,1
Austin Deculus,Barstool Sports,Louisiana State University,Football,1
Austin Deculus,PSD Underwear,Louisiana State University,Football,1
Austin Deculus,Yoke Gaming,Louisiana State University,Football,1
Spencer Lee,Barstool Sports,University of Iowa,Wrestling,1
Mitchell Pehlke,Barstool Sports,The Ohio State University,Lacrosse,2
Mitchell Pehlke,Degree Deodorant,The Ohio State University,Lacrosse,2
Adrian Martinez,Degree Deodorant,University of Nebraska-Lincoln,Football,2
Adrian Martinez,Six Star Pro Nutrition,University of Nebraska-Lincoln,Football,2
Patrick McCaffery,Barstool Sports,University of Iowa,Basketball,2
Malachi Moore,Milo's Tea Company,University of Alabama,Football,2
Malachi Moore,PSD Underwear,University of Alabama,Football,2
Cory Durden,PSD Underwear,North Carolina State University,Football,2
Cory Durden,Six Star Pro Nutrition,North Carolina State University,Football,2
Cory Durden,Vale Food Co,North Carolina State University,Football,2
Joseph Girard III,Yoke Gaming,Syracuse University,Basketball,2
Joe Hampton,PSD Underwear,"California State University, Long Beach",Basketball,2
DeMarvion Overshown,,University of Texas at Austin,Football,2
Tyrese Chambers,SoHoodie,Florida International University,Football,2
Tyrese Chambers,Taco Time +,Florida International University,Football,2
Velus Jones Jr.,Metro Straw,University of Tennessee,Football,2
Velus Jones Jr.,Yoke Gaming,University of Tennessee,Football,2
John Rhys Plumlee,Craddock Oil Company / Blue Sky Corporation,University of Mississippi,Football,2
Eric Ayala,,"University of Maryland, College Park",Basketball,2
Hunter Dickinson,Outback Steakhouse,University of Michigan,Basketball,2
Shanya Luna,Barstool Sports,Louisiana State University,Cross Country,2
Shanya Luna,Celsius,Louisiana State University,Cross Country,2
Shanya Luna,Liquid I.V.,Louisiana State University,Cross Country,2
Marcus Bagley,Outback Steakhouse,Arizona State University,Basketball,2
Colin Castleton,,University of Florida,Basketball,2
Rachel Heck,PING Golf,Stanford University,Golf,2
Rachel Heck,Stifel,Stanford University,Golf,2
RayQuawndis Mitchell,Barstool Sports,University of Illinois at Chicago,Basketball,2
Shedeur Sanders,Beats by Dre,Jackson State University,Football,2
Shedeur Sanders,Gatorade,Jackson State University,Football,2
Quan Lee,JS2 Cattle Company,University of Central Florida,Football,2
Quan Lee,Travous Dever,University of Central Florida,Football,2
